FEATURE,IMPORTANCE,SUMMED_TOTAL
cat__first_utm_medium_curalate_like2buy_7z6mOpwm__3ab4ca97-a499-4024-8cc4-616a82a3a7f3,0.0,1.0
cat__last_utm_source_getlasso,0.0,1.0
cat__source_category_3_Retargeting Legacy,0.0,1.0
cat__source_category_2_YouTube,0.0,1.0
cat__source_category_2_Pinterest,0.0,1.0
cat__first_utm_medium_Bing_ads,0.0,1.0
cat__source_category_2_Instagram,0.0,1.0
cat__first_utm_medium_Default,0.0,1.0
cat__first_utm_medium_Puritans,0.0,1.0
cat__first_utm_medium_Sales-Tab,0.0,1.0
cat__first_utm_medium_Sales-Tab-V2,0.0,1.0
cat__first_utm_medium_Shopping,0.0,1.0
cat__first_utm_medium_affiliate,0.0,1.0
cat__source_category_Connexity,0.0,1.0
cat__first_utm_medium_bing_,0.0,1.0
cat__last_utm_source_zalo,0.0,1.0
cat__last_utm_source_youtube,0.0,1.0
cat__last_utm_source_yahoo,0.0,1.0
cat__last_utm_source_trustpilot,0.0,1.0
cat__last_utm_source_social,0.0,1.0
cat__last_utm_medium_postcard,0.0,1.0
cat__first_utm_medium_company_profile,0.0,1.0
cat__last_utm_source_referral,0.0,1.0
cat__last_utm_source_puritan,0.0,1.0
cat__last_utm_source_pocket_reader,0.0,1.0
cat__last_utm_source_og_test,0.0,1.0
cat__last_utm_source_mail,0.0,1.0
cat__last_utm_source_klarna,0.0,1.0
cat__last_utm_source_google,0.0,1.0
cat__last_utm_medium_prnewswire,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__d4b54439-f133-4b6b-a6f5-29010e0a7440,0.0,1.0
cat__last_utm_medium_og_sticky_header,0.0,1.0
cat__first_utm_source_Flipboard,0.0,1.0
cat__first_utm_source_RatingsAndReviews,0.0,1.0
cat__first_utm_source_Sales-tab-V22,0.0,1.0
cat__first_utm_source_Salestab,0.0,1.0
cat__first_utm_source_Website,0.0,1.0
cat__first_utm_source_affiliate,0.0,1.0
cat__first_utm_source_clubhouse,0.0,1.0
cat__first_utm_source_criteo,0.0,1.0
cat__first_utm_source_curalate_like2buy,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__8819b535-6e37-43f8-8f50-94be12526118,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__67aa80ab-66b4-40bd-9b3c-118e398409d4,0.0,1.0
cat__first_utm_source_getlasso,0.0,1.0
cat__first_utm_source_klarna,0.0,1.0
cat__first_utm_source_mail,0.0,1.0
cat__first_utm_source_native,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__5d278e05-b741-4b84-9931-2bc87d46a122,0.0,1.0
cat__first_utm_source_pocket_reader,0.0,1.0
cat__first_utm_source_puritan,0.0,1.0
cat__first_utm_source_qr,0.0,1.0
cat__first_utm_source_referral,0.0,1.0
cat__first_utm_source_PRR,0.0,1.0
cat__first_utm_source_AWin-57697,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__35134bf6-519d-49c8-868a-9ce38f5acaa7,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__a1b83c1c-f50b-49be-b5ed-4aadec91c1ce,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__e6bae0aa-8ecd-448a-874c-0e0b132562a3,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__f4a8025f-b20e-4213-8604-f1fbba78a9a0,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__c692be37-7d11-4bac-966a-2f0314f09052,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__bf0508f2-cfbe-4632-b0a7-d7c1420bc398,0.0,1.0
cat__first_utm_medium_grupelapkritis,0.0,1.0
cat__first_utm_medium_grupesausis,0.0,1.0
cat__first_utm_medium_grupespalis,0.0,1.0
cat__first_utm_medium_postcard,0.0,1.0
cat__first_utm_medium_prnewswire,0.0,1.0
cat__first_utm_medium_product_shelf,0.0,1.0
cat__first_utm_medium_qr,0.0,1.0
cat__first_utm_medium_referral,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__b54577d4-dacc-4284-a5f9-b654ea9a12a2,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__a465deb2-3ab7-4773-94f1-722ca0fecb9b,0.0,1.0
cat__first_utm_medium_social,0.0,1.0
cat__first_utm_medium_trade_desk,0.0,1.0
cat__first_utm_medium_vitamins,0.0,1.0
cat__first_utm_medium_yahoo_gemini,0.0,1.0
cat__first_utm_medium_youtube,0.0,1.0
cat__first_utm_source_site_default,0.0,1.0
cat__first_utm_source_social,0.0,1.0
cat__last_utm_medium_grupespalis,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__18e8d0aa-9094-49ab-902a-6414cd4ccc1a,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__3435814f-725c-4f0b-9aef-23d8436e738e,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__35134bf6-519d-49c8-868a-9ce38f5acaa7,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__5d278e05-b741-4b84-9931-2bc87d46a122,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__708d8916-0a10-4413-8443-77aa8eabdefc,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__8819b535-6e37-43f8-8f50-94be12526118,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__a465deb2-3ab7-4773-94f1-722ca0fecb9b,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__bf0508f2-cfbe-4632-b0a7-d7c1420bc398,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__c692be37-7d11-4bac-966a-2f0314f09052,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__d4b54439-f133-4b6b-a6f5-29010e0a7440,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__dca0b5c5-cc9c-467d-8e3c-daf7eeeba29b,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__e49e5ded-7cdf-492f-8917-08ebf64c4320,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__f4a8025f-b20e-4213-8604-f1fbba78a9a0,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__ffd6659d-7a6d-4382-a7a2-466dde12b5e5,0.0,1.0
cat__last_utm_medium_curalate_reserved,0.0,1.0
cat__last_utm_medium_display,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__e49e5ded-7cdf-492f-8917-08ebf64c4320,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__0c0b665a-a857-40bc-81f9-d89b5a0f98b9,0.0,1.0
cat__last_utm_medium_grupelapkritis,0.0,1.0
cat__last_utm_medium_grupesausis,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__293a564f-06c4-426e-abca-42715b7fbe55,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__18b0a9ee-8857-4641-9b97-fabd6f93c209,0.0,1.0
cat__first_utm_source_trustpilot,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__15860788-30d3-4459-93b1-d89f282ff5a1,0.0,1.0
cat__first_utm_source_youtube,0.0,1.0
cat__first_utm_source_zalo,0.0,1.0
cat__last_utm_medium_--sanitized--,0.0,1.0
cat__last_utm_medium_Bing_ads,0.0,1.0
cat__last_utm_medium_Default,0.0,1.0
cat__last_utm_medium_Puritans,0.0,1.0
cat__last_utm_medium_Sales-Tab,0.0,1.0
cat__last_utm_medium_Sales-Tab-V2,0.0,1.0
cat__last_utm_medium_Shopping,0.0,1.0
cat__last_utm_medium_affiliate,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__3435814f-725c-4f0b-9aef-23d8436e738e,0.0,1.0
cat__last_utm_medium_bing_,0.0,1.0
cat__last_utm_medium_campaign-email,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__293a564f-06c4-426e-abca-42715b7fbe55,0.0,1.0
cat__last_utm_medium_company_profile,0.0,1.0
cat__last_utm_medium_cpc,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__18b0a9ee-8857-4641-9b97-fabd6f93c209,0.0,1.0
cat__last_utm_medium_curalate_igs_direct__media-import.mis_03bc806f-ec69-4882-8e69-917f1a47edff.3216,0.0,1.0
cat__last_utm_medium_curalate_like2buy_E35Kt0So__0c0b665a-a857-40bc-81f9-d89b5a0f98b9,0.0,1.0
cat__first_utm_medium_curalate_like2buy_E35Kt0So__15860788-30d3-4459-93b1-d89f282ff5a1,0.0,1.0
